Metric,Value,Unit
CPU Usage,13.2,%
CPU Cores,12,cores
CPU Average,17.8,%
Memory Usage,68.5,%
Memory Used,0,MB
Memory Total,0,MB
Disk Usage,43.1,%
Process Count,163,processes
Health Score,68.4,/100
Health Status,Good,status
Timestamp,2026-03-07 10:51:27,datetime
